DERIVATIVES PRICELIST,,,,,,,,,
,,Listing,Expiry,Days to,MTM,Previous,Total Volume,Total,Open Interest
Contract Type,ISIN,Date,Date,Expiry,Price,Price,Contracts,Value,Contracts
,,,,,,,,,Jan-25
INDEX (N25I),,,,,,,,,
3/20/2025,KE9400006434,3/22/2024,3/20/2025, 48 ," 3,460.00 "," 3,522.00 ",,, -   
6/20/2025,KE9400007986,6/21/2024,6/19/2025, 139 ," 3,499.00 "," 3,561.00 ",,, -   
9/18/2025,KE9400009214,9/20/2024,9/18/2025, 230 ," 3,554.00 "," 3,617.00 ",,, -   
12/18/2025,KE9600001870,12/20/2024,12/18/2025, 321 ," 3,622.00 "," 3,686.00 ",,, -   
,,,,,,,,,
INDEX (25MN),,,,,,,,,
3/20/2025,KE9400006327,3/22/2024,3/20/2025, 48 ," 3,460.00 "," 3,522.00 ",,, -   
6/20/2025,KE9400007870,6/21/2024,6/19/2025, 139 ," 3,499.00 "," 3,561.00 ",,, -   
9/18/2025,KE9400009107,9/20/2024,9/18/2025, 230 ," 3,554.00 "," 3,617.00 ",,, -   
12/18/2025,KE9600001763,12/20/2024,12/18/2025, 321 ," 3,622.00 "," 3,686.00 ",,, -   
,,,,,,,,,
INDEX (10MN),,,,,,,,,
3/20/2025,KE9600003108,3/22/2024,3/20/2025, 79 ," 1,322.00 "," 1,348.00 ",,, -   
6/20/2025,KE9600003215,6/21/2024,6/19/2025, 170 ," 1,337.00 "," 1,363.00 ",,, -   
9/18/2025,KE9600003322,9/20/2024,9/18/2025, 261 ," 1,358.00 "," 1,384.00 ",,, -   
12/18/2025,KE9600003439,12/20/2024,12/18/2025, 352 ," 1,384.00 "," 1,411.00 ",,, -   
,,,,,,,,,
SINGLE STOCK FUTURE (SCOM),,,,,,,,,
3/20/2025,KE9400006657,3/22/2024,3/20/2025, 48 , 16.87 , 17.38 ,,, 9.00 
6/20/2025,KE9400008109,6/21/2024,6/19/2025, 139 , 17.26 , 17.78 ,,, -   
9/18/2025,KE9400009438,9/20/2024,9/18/2025, 230 , 17.72 , 18.26 ,,, -   
12/18/2025,KE9600001987,12/20/2024,12/18/2025, 321 , 18.26 , 18.81 ,,, -   
,,,,,,,,,
SINGLE STOCK FUTURE (EQTY),,,,,,,,,
3/20/2025,KE9400006988,3/22/2024,3/20/2025, 48 , 47.81 , 48.28 ,,, 8.00 
6/20/2025,KE9400008323,6/21/2024,6/19/2025, 139 , 44.88 , 45.36 ,,, -   
9/18/2025,KE9400009768,9/20/2024,9/18/2025, 230 , 46.10 , 46.59 ,,, -   
12/18/2025,KE9600002100,12/20/2024,12/18/2025, 321 , 47.50 , 48.00 ,,, -   
,,,,,,,,,
SINGLE STOCK FUTURE (KCBG),,,,,,,,,
3/20/2025,KE9400006764,3/22/2024,3/20/2025, 48 , 43.31 , 44.10 ,,, 169.00 
6/20/2025,KE9400008216,6/21/2024,6/19/2025, 139 , 44.30 , 45.35 ,,, -   
9/18/2025,KE9400009545,9/20/2024,9/18/2025, 230 , 45.49 , 46.57 ,,, -   
12/18/2025,KE9600002092,12/20/2024,12/18/2025, 321 , 46.86 , 47.97 ,,, -   
,,,,,,,,,
SINGLE STOCK FUTURE (EABL),,,,,,,,,
3/20/2025,KE9400007218,3/22/2024,3/20/2025, 48 , 181.80 , 192.50 ,,, -   
6/20/2025,KE9400008547,6/21/2024,6/19/2025, 139 , 186.00 , 196.90 ,,, -   
9/18/2025,KE9400009982,9/20/2024,9/18/2025, 230 , 185.00 , 196.20 ,,, -   
12/18/2025,KE9600002324,12/20/2024,12/18/2025, 321 , 190.60 , 202.15 ,,, -   
,,,,,,,,,
SINGLE STOCK FUTURE (BATK),,,,,,,,,
3/20/2025,KE9400007325,3/22/2024,3/20/2025, 48 , 367.20 , 368.55 ,,, -   
6/20/2025,KE9400008653,6/21/2024,6/19/2025, 139 , 330.30 , 331.70 ,,, -   
9/18/2025,KE9600001102,9/20/2024,9/18/2025, 230 , 334.25 , 335.70 ,,, -   
12/18/2025,KE9600002548,12/20/2024,12/18/2025, 321 , 344.45 , 345.90 ,,, -   
,,,,,,,,,
SINGLE STOCK FUTURE (ABSA),,,,,,,,,
3/20/2025,KE9400007093,3/22/2024,3/20/2025, 48 , 18.21 , 18.19 , 1.00 ," 18,210.00 ", 5.00 
6/20/2025,KE9400008430,6/21/2024,6/19/2025, 139 , 17.23 , 17.24 ,,, -   
9/18/2025,KE9400009875,9/20/2024,9/18/2025, 230 , 17.70 , 17.70 ,,, -   
12/18/2025,KE9600002217,12/20/2024,12/18/2025, 321 , 18.23 , 18.24 ,,, -   
,,,,,,,,,
SINGLE STOCK FUTURE (NCBA),,,,,,,,,
3/20/2025,KE9400007432,3/22/2024,3/20/2025, 48 , 49.13 , 49.25 ,,, 4.00 
6/20/2025,KE9400008760,6/21/2024,6/19/2025, 139 , 47.22 , 47.34 ,,, -   
9/18/2025,KE9600001219,9/20/2024,9/18/2025, 230 , 48.49 , 48.61 ,,, -   
12/18/2025,KE9600002654,12/20/2024,12/18/2025, 321 , 49.96 , 50.08 ,,, -   
,,,,,,,,,
SINGLE STOCK FUTURE (COOP),,,,,,,,,
3/20/2025,KE9400007549,3/22/2024,3/20/2025, 48 , 16.90 , 16.67 , 1.00 ," 16,900.00 ", 111.00 
6/20/2025,KE9400008877,6/21/2024,6/19/2025, 139 , 15.63 , 15.53 ,,, -   
9/18/2025,KE9600001326,9/20/2024,9/18/2025, 230 , 16.05 , 15.95 ,,, -   
12/18/2025,KE9600002878,12/20/2024,12/18/2025, 321 , 16.54 , 16.43 ,,, -   
,,,,,,,,,
SINGLE STOCK FUTURE (SCBK),,,,,,,,,
3/20/2025,KE9400007655,3/22/2024,3/20/2025, 48 , 282.10 , 284.45 ,,, 1.00 
6/20/2025,KE9400008984,6/21/2024,6/19/2025, 139 , 265.20 , 267.60 ,,, -   
9/18/2025,KE9600001433,9/20/2024,9/18/2025, 230 , 272.40 , 274.85 ,,, -   
12/18/2025,KE9600002985,12/20/2024,12/18/2025, 321 , 280.60 , 283.15 ,,, -   
,,,,,,,,,
SINGLE STOCK FUTURE (IMHP),,,,,,,,,
3/20/2025,KE9400007762,3/22/2024,3/20/2025, 48 , 34.14 , 35.26 ,,, 1.00 
6/20/2025,KE9400009099,6/21/2024,6/19/2025, 139 , 32.33 , 33.48 ,,, -   
9/18/2025,KE9600001540,9/20/2024,9/18/2025, 230 , 33.20 , 34.38 ,,, -   
12/18/2025,KE9600003090,12/20/2024,12/18/2025, 321 , 34.21 , 35.42 ,,, -   
,,,,,,,,,
,,,,,,,,,
DERIVATIVES PRICELIST,,,,,,,,,
,,Listing,Expiry,Days to,MTM,Previous,Total Volume,Total,Open Interest
Contract Type,ISIN,Date,Date,Expiry,Price,Price,Contracts,Value,Contracts
,,,,,,,,,Feb-25
INDEX (N25I),,,,,,,,,
3/20/2025,KE9400006434,3/22/2024,3/20/2025,20," 3,605.00 "," 3,607.00 ",,, -   
6/20/2025,KE9400007986,6/21/2024,6/19/2025,111," 3,639.00 "," 3,640.00 ",,, -   
9/18/2025,KE9400009214,9/20/2024,9/18/2025,202," 3,683.00 "," 3,686.00 ",,, -   
12/18/2025,KE9600001870,12/20/2024,12/18/2025,293," 3,742.00 "," 3,745.00 ",,, -   
,,,,,,,,,
INDEX (25MN),,,,,,,,,
3/20/2025,KE9400006327,3/22/2024,3/20/2025,20," 3,605.00 "," 3,607.00 ",,, -   
6/20/2025,KE9400007870,6/21/2024,6/19/2025,111," 3,639.00 "," 3,640.00 ",,, -   
9/18/2025,KE9400009107,9/20/2024,9/18/2025,202," 3,683.00 "," 3,686.00 ",,, -   
12/18/2025,KE9600001763,12/20/2024,12/18/2025,293," 3,742.00 "," 3,745.00 ",,, -   
,,,,,,,,,
INDEX (10MN),,,,,,,,,
3/20/2025,KE9600003108,3/22/2024,3/20/2025,79," 1,371.00 "," 1,372.00 ",,, -   
6/20/2025,KE9600003215,6/21/2024,6/19/2025,170," 1,384.00 "," 1,384.00 ",,, -   
9/18/2025,KE9600003322,9/20/2024,9/18/2025,261," 1,400.00 "," 1,402.00 ",,, -   
12/18/2025,KE9600003439,12/20/2024,12/18/2025,352," 1,423.00 "," 1,424.00 ",,, -   
,,,,,,,,,
SINGLE STOCK FUTURE (SCOM),,,,,,,,,
3/20/2025,KE9400006657,3/22/2024,3/20/2025,20, 17.49 , 17.65 ,,, 4.00 
6/20/2025,KE9400008109,6/21/2024,6/19/2025,111, 17.86 , 18.02 ,,, -   
